order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,city,state
1961864118,30065862,17-07-2024 08:34,17-07-2024 08:52,17-07-2024 08:47,On Time,3197.07,Cash,63230,4771,Bathinda,Punjab
1549769649,9573071,28-05-2024 13:14,28-05-2024 13:25,28-05-2024 13:27,On Time,976.55,Cash,14983,7534,Panchkula,Haryana
9185164487,45477575,23-09-2024 13:07,23-09-2024 13:25,23-09-2024 13:29,On Time,839.05,UPI,39859,9886,Vadodara,Gujarat
9644738826,88067569,24-11-2023 16:16,24-11-2023 16:34,24-11-2023 16:33,On Time,440.23,Card,61497,7917,Jaipur,Rajasthan
5427684290,83298567,20-11-2023 05:00,20-11-2023 05:17,20-11-2023 05:18,On Time,2526.68,Cash,84315,2741,Goa (Panaji),Goa
3265154092,43367112,18-03-2023 16:29,18-03-2023 16:49,18-03-2023 16:48,On Time,3161.43,UPI,554,3442,Sonipat,Haryana
4898355547,13284996,16-04-2023 18:50,16-04-2023 19:01,16-04-2023 19:02,On Time,956.4,Card,14630,1318,Kharar,Punjab
6568151549,88866835,31-03-2024 06:26,31-03-2024 06:37,31-03-2024 06:39,On Time,905.47,Cash,67714,115,Goa (operational region),Goa
6006693867,24496983,13-07-2023 23:49,14-07-2023 00:02,14-07-2023 00:05,On Time,1371.17,Card,91362,9021,Ahmedabad,Gujarat
374186990,52215833,09-08-2023 01:17,09-08-2023 01:37,09-08-2023 01:44,Slightly Delayed,1601.19,Wallet,77203,7955,Kochi,Kerala
4455336265,43431724,30-08-2023 19:37,30-08-2023 19:47,30-08-2023 19:45,On Time,2362.33,UPI,64046,3784,Bhiwadi,Rajasthan
3539286337,77559557,25-04-2023 20:32,25-04-2023 20:44,25-04-2023 20:39,On Time,1463.8,Wallet,94899,2463,Bahadurgarh,Haryana
9171116867,87107263,22-10-2023 11:15,22-10-2023 11:25,22-10-2023 11:37,Slightly Delayed,822.63,Card,73907,6899,Jalandhar,Punjab
5504941865,76512976,28-01-2024 02:39,28-01-2024 02:55,28-01-2024 03:06,Slightly Delayed,2287.68,Wallet,56077,9809,Mumbai,Maharashtra
5868326481,37556526,15-03-2024 21:07,15-03-2024 21:24,15-03-2024 21:21,On Time,1962.35,Wallet,94140,3106,Kanpur,Uttar Pradesh
2137046916,12059049,03-02-2024 08:50,03-02-2024 09:03,03-02-2024 09:01,On Time,3373.96,UPI,12377,1007,Mohali,Punjab
8195544338,26199489,26-04-2023 04:03,26-04-2023 04:20,26-04-2023 04:28,Slightly Delayed,845.71,Wallet,102,3809,Noida,Uttar Pradesh
2889700050,84848018,30-04-2024 16:22,30-04-2024 16:33,30-04-2024 16:36,On Time,2706.54,Wallet,45032,78,Hyderabad,Telangana
65827885,47577193,27-07-2023 00:13,27-07-2023 00:25,27-07-2023 00:20,On Time,1132.98,Cash,1108,3817,Kharar,Punjab
4656471694,60728956,09-12-2023 08:08,09-12-2023 08:27,09-12-2023 08:35,Slightly Delayed,1525.5,Cash,62782,5739,Kanpur,Uttar Pradesh
6625178717,62068277,01-07-2023 04:24,01-07-2023 04:40,01-07-2023 04:53,Slightly Delayed,5718.09,Card,74906,2130,Chandigarh,Chandigarh
